数据库：分省年度数据
指标：居民消费价格指数(上年=100)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,101.8,101.6,103.3,103.3,105.6,102.4,98.5,105.1,102.4,100.9
天津市,101.7,101.9,103.1,102.7,104.9,103.5,99.0,105.4,104.2,101.5
河北省,100.9,101.7,103.0,102.6,105.7,103.1,99.3,106.2,104.7,101.7
山西省,100.6,101.7,103.1,102.5,105.2,103.0,99.6,107.2,104.6,102.0
内蒙古自治区,101.1,101.6,103.2,103.1,105.6,103.2,99.7,105.7,104.6,101.5
辽宁省,101.4,101.7,102.4,102.8,105.2,103.0,100.0,104.6,105.1,101.2
吉林省,101.7,102.0,102.9,102.5,105.2,103.7,100.1,105.1,105.3,101.4
黑龙江省,101.1,101.5,102.2,103.2,105.8,103.9,100.2,105.6,105.2,101.9
上海市,102.4,102.7,102.3,102.8,105.2,103.1,99.6,105.8,103.2,101.2
江苏省,101.7,102.2,102.3,102.6,105.3,103.8,99.6,105.4,104.3,101.6
浙江省,101.4,102.1,102.3,102.2,105.4,103.8,98.5,105.0,104.2,101.1
安徽省,101.3,101.6,102.4,102.3,105.6,103.1,99.1,106.2,105.3,101.2
福建省,101.7,102.0,102.5,102.4,105.3,103.2,98.2,104.6,105.2,100.8
江西省,101.5,102.3,102.5,102.7,105.2,103.0,99.3,106.0,104.8,101.2
山东省,101.2,101.9,102.2,102.1,105.0,102.9,100.0,105.3,104.4,101.0
河南省,101.3,101.9,102.9,102.5,105.6,103.5,99.4,107.0,105.4,101.3
湖北省,101.5,102.0,102.8,102.9,105.8,102.9,99.6,106.3,104.8,101.6
湖南省,101.4,101.9,102.5,102.0,105.5,103.1,99.6,106.0,105.6,101.4
广东省,101.5,102.3,102.5,102.8,105.3,103.1,97.7,105.6,103.7,101.8
广西壮族自治区,101.5,102.1,102.2,103.2,105.9,103.0,97.9,107.8,106.1,101.3
海南省,101.0,102.4,102.8,103.2,106.1,104.8,99.3,106.9,105.1,101.5
重庆市,101.3,101.8,102.7,102.6,105.3,103.2,98.4,105.6,104.7,102.4
四川省,101.5,101.6,102.8,102.5,105.3,103.2,100.8,105.1,105.9,102.3
贵州省,101.8,102.4,102.5,102.7,105.1,102.9,98.7,107.6,106.4,101.7
云南省,101.9,102.4,103.1,102.7,104.9,103.7,100.4,105.7,105.9,101.9
西藏自治区,102.0,102.9,103.6,103.5,105.0,102.2,101.4,105.7,103.4,102.0
陕西省,101.0,101.6,103.0,102.8,105.7,104.0,100.5,106.4,105.2,101.5
甘肃省,101.6,102.1,103.2,102.7,105.9,104.1,101.3,108.2,105.2,101.3
青海省,102.6,102.8,103.9,103.1,106.1,105.4,102.6,110.1,106.7,101.6
宁夏回族自治区,101.1,101.9,103.4,102.0,106.3,104.1,100.7,108.5,105.5,101.9
新疆维吾尔自治区,100.6,102.1,103.9,103.8,105.9,104.3,100.7,108.1,105.5,101.3
数据来源：国家统计局
